id,title
0,Predisposing factors for incomplete spontaneous recovery after Parsonage-Turner Syndrome.
1,Gastrointestinal LCH a rare manifestation of Langerhans cell histiocytosis
2,A rare case report of omental synovial sarcoma complicated hemoperitoneum and literature review
3,Chronic brucellosis with sacroiliitis A case report
4,Unilateral adrenal metastases as an unusual primary presentation of hepatocellular carcinoma a case report and literature review
5,Repair of an iatrogenic lacrimal fistula a case report
6,Cutaneous Metastasis of Breast Carcinoma in the Distal Phalanx of the Left Little Finger A Case Report
7,Spontaneous cerebrospinal fluid rhinorrhoea a case report and literature review
8,SIADH secondary to rhino-orbito-cerebral mucormycosis A case report
9,Genetic and Cellular Basis of Impai.tx24- Genetic and Cellular Basis of Impaired Phagocytosis and Photoreceptor Degeneration in CLN3 Disease
10,Aseptic Meningitis as an Initial Presentation of Primary Sjogren Syndrome A Case Report
11,Uncommon site of Brucella endocarditis in a double discordant heart
12,Report of one case with de novo mutation in TLK2 and literature review
13,False-Negative Motor-Evoked Potential Due to Contrast-Induced Encephalopathy During Coil Embolization for Intracranial Aneurysm A Case Report
14,"High Burden Ventricular Ectopy  10 in Children with Structurally Normal Hearts Investigating the Association of Ventricular Ectopy Frequency, Holter and ECG Findings, and Ventricular Dysfunction._removed"
15,A primary intracranial neuroepithelial neoplasm with novel TCF3BEND2 fusion a case report
16,Successful treatment of a 4-year-old girl with pure malignant rhabdoid tumor of the bladder a case report
17,Pediatric neurobrucellosis and atypical Guillain-Barre syndrome an intriguing case unveiled
18,Case report orthostatic hypotension as the first presentation of progressive encephalomyelitis with rigidity and myoclonus (PERM) with multiple autoimmune antibodies
19,The therapeutic potential of Apigenin in amyotrophic lateral sclerosis through ALDH1A2Nrf2ARE signaling
20,A novel disease-causing variant associated with a milder phenotype of AARS2-related leukodystrophy - A case report
21,Post-intubation tracheal rupture treated surgically using a muscle graft from the Latissimus Dorsi a rare disorder and review of literature.
22,An Unusual Case of Early-onset Ankylosing Spondylitis with Predominant Cervical Spine Involvement
23,Brain abscess caused by Streptococcus pyogenes with atypical symptoms a case report and literature review
24,Ultrasound evaluation of kidney and liver involvement in Bardet-Biedl syndrome
25,Case report Pediatric hepatopulmonary syndrome despite strict weight control after craniopharyngioma surgery
26,Therapeutic effect of nimustine in a dog with intracranial histiocytic sarcoma
27,Episodic Coma in Lewy Body Disorders An Observational Report
28,Musculoskeletal infections associated with 
29,"Uncommon Coexistence of Eosinophilic Colitis, Asthma, and Elevated IgG4 Levels A Case Report"
30,Genome-wide meta-analysis of myasthenia gravis uncovers new loci and provides insights into polygenic prediction
31,Genetic and Cellular Basis of Impaired Phagocytosis and Photoreceptor Degeneration in CLN3 Disease
32,"Locally acquired typhoid fever outbreak linked to chronic carriage in Ottawa, Canada, 2018-2022."
33,Holocord syringomyelia caused by tethered cord syndrome case report and literature review._removed
34,"Initiation response, maximized therapeutic efficacy, and post-treatment effects of biological targeted therapies in myasthenia gravis a systematic review and network meta-analysis."
35,Switching treatment to cipaglucosidase alfa plus miglustat positively affects patient-reported outcome measures in patients with late-onset Pompe disease
36,A case of postpartum dermatomyositis with onset at three months expanding the clinical spectrum
37,Musculoskeletal manifestations of lower-extremity coccidioidomycosis a case series.
38,Brain and lung arteriovenous malformation rescreening practices for children and adults with hereditary hemorrhagic telangiectasia
39,CNS histoplasmosis coexisting with pulmonary tuberculosis in a HIV negative patient case report
40,Generation of human induced pluripotent stem cell lines derived from patients of cystic biliary atresia
41,An Interesting Case of Weil_s Disease with Diagnostic Challenges
42,GNG5 is a novel regulator of Aβ42 production in Alzheimer's disease
43,Adult-Onset Neuronal Ceroid Lipofuscinosis
44,Chronic Granulomatous Invasive Fungal Rhinosinusitis With Intracranial Extension in an Immunocompetent Patient A Case Report
45,"Autoimmune encephalitis with coexisting antibodies to GABABR, GAD65, SOX1 and Ma2"
46,Association between tumor location and toxicity outcomes after stereotactic radiosurgery for brain metastases
47,Endocrine disorders in Rett syndrome a systematic review of the literature
